Title,URL,Image URL,Price,Rating,Reviews,Badge,Sponsored,Brand
Storio Toy Octopus Plushie Reversible Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls| Best Gift | Octopus Soft Toy for Kids -PurplePink,https://www.amazon.in/Storio-Octopus-Plushie-Reversible-Plush/dp/B0D6Z1YPTZ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-1,https://m.media-amazon.com/images/I/51nqXz7iWrL._AC_UL320_.jpg,178,4.2,1565,Best seller,False,Storio
Babique Dog Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls White (25 cm),https://www.amazon.in/Babique-Sitting-Plush-Animal-Decor/dp/B0B2F8XS9L/ref=sr_1_2?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-2,https://m.media-amazon.com/images/I/51h6wRH0lpL._AC_UL320_.jpg,170,4.0,1233,Limited time deal,False,Babique
"Niku Rabbit with Chain Reversible Bunny Rabbit Soft Stuffed Toys for Girls Boys Baby Kids | Doll, Teddy Bear plushies, Animal Toy | Strawberry/Carrot Shaped Pink Colour | Valentine's Gift",https://www.amazon.in/Niku-Reversible-Stuffed-plushies-Strawberry/dp/B0CPVNTZ4K/ref=sr_1_3?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-3,https://m.media-amazon.com/images/I/613ls1KV-HL._AC_UL320_.jpg,351,4.1,622,,False,Niku
Babique Cat Flower Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(25 cm),https://www.amazon.in/Babique-Flower-Plush-Animal-Decor/dp/B0BFNYP192/ref=sr_1_4?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-4,https://m.media-amazon.com/images/I/61QnIuUiOgL._AC_UL320_.jpg,217,4.0,1210,,False,Babique
"Babique Elephant Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Blue, 30 cm)",https://www.amazon.in/Babique-Elephant-Sitting-Plush-Animal/dp/B0BD5TR6FD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-5,https://m.media-amazon.com/images/I/71sh-Yt3EmL._AC_UL320_.jpg,250,4.4,1189,,False,Babique
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink)",https://www.amazon.in/Babique-Unicorn-Stuffed-Plush-Birthday/dp/B08LTGVND9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-6,https://m.media-amazon.com/images/I/51C5TrSt-GL._AC_UL320_.jpg,156,4.2,9322,,False,Babique
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 Cm, Yellow)",https://www.amazon.in/Babique-Unicorn-Stuffed-Birthday-Yellow/dp/B08LTGRJSV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-7,https://m.media-amazon.com/images/I/51AWNa6+TOL._AC_UL320_.jpg,162,4.1,4668,Limited time deal,False,Babique
"Babique Rabbit Plush Cute Rabbit Soft Toys Animal Home Decor Baby/Boys/Girls (Pink, 26 cm)",https://www.amazon.in/Babique-Rabbit-Stuffed-Plush-Birthday/dp/B08LTGCVQT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-8,https://m.media-amazon.com/images/I/513NwwpIBqL._AC_UL320_.jpg,169,3.9,651,,False,Babique
Storio Toy Super Cute Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids -Reversible Rabbit | Best Valentine Gift,https://www.amazon.in/Storio-Plushie-Reversible-Rabbit-Valentine/dp/B0CQG947NZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-9,https://m.media-amazon.com/images/I/51XjmK41FjL._AC_UL320_.jpg,298,4.2,1565,Best seller,False,Storio
"Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, Glitter Eyes Soft Toy, 35CM (Grey)",https://www.amazon.in/Webby-Plush-Stuffed-Animal-Adorable/dp/B0B42TFR9D/ref=sr_1_10?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-10,https://m.media-amazon.com/images/I/71A-WPv5q-L._AC_UL320_.jpg,410,4.5,897,Limited time deal,False,Webby
